symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,price,city-km/L,highway-km/L,length-cm,width-cm,height-cm,bin-horsepower,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
3,122,alfa-romero,two,convertible,rwd,front,88.6,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,13495.0,8.924999999999999,11.475,0.8111484863046613,0.8902777777777777,0.8160535117056856,little,False,True,True,False
3,122,alfa-romero,two,convertible,rwd,front,88.6,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,16500.0,8.924999999999999,11.475,0.8111484863046613,0.8902777777777777,0.8160535117056856,little,False,True,True,False
1,122,alfa-romero,two,hatchback,rwd,front,94.5,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000.0,16500.0,8.075,11.049999999999999,0.8226814031715521,0.9097222222222223,0.8762541806020068,medium,False,True,True,False
2,164,audi,four,sedan,fwd,front,99.8,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,13950.0,10.2,12.75,0.8486304661220567,0.9194444444444444,0.9080267558528428,little,False,True,True,False
2,164,audi,four,sedan,4wd,front,99.4,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,17450.0,7.6499999999999995,9.35,0.8486304661220567,0.9222222222222223,0.9080267558528428,little,False,True,True,False
2,122,audi,two,sedan,fwd,front,99.8,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,15250.0,8.075,10.625,0.8519942335415667,0.9208333333333333,0.8879598662207357,little,False,True,True,False
1,158,audi,four,sedan,fwd,front,105.8,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,17710.0,8.075,10.625,0.9259971167707833,0.9916666666666668,0.931438127090301,little,False,True,True,False
1,122,audi,four,wagon,fwd,front,105.8,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,18920.0,8.075,10.625,0.9259971167707833,0.9916666666666668,0.931438127090301,little,False,True,True,False
1,158,audi,four,sedan,fwd,front,105.8,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,23875.0,7.225,8.5,0.9259971167707833,0.9916666666666668,0.9347826086956521,medium,False,True,False,True
2,192,bmw,two,sedan,rwd,front,101.2,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,16430.0,9.775,12.325,0.8495915425276311,0.8999999999999999,0.9080267558528428,little,False,True,True,False
0,192,bmw,four,sedan,rwd,front,101.2,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,16925.0,9.775,12.325,0.8495915425276311,0.8999999999999999,0.9080267558528428,little,False,True,True,False
0,188,bmw,two,sedan,rwd,front,101.2,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,20970.0,8.924999999999999,11.9,0.8495915425276311,0.8999999999999999,0.9080267558528428,medium,False,True,True,False
0,188,bmw,four,sedan,rwd,front,101.2,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,21105.0,8.924999999999999,11.9,0.8495915425276311,0.8999999999999999,0.9080267558528428,medium,False,True,True,False
1,122,bmw,four,sedan,rwd,front,103.5,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,24565.0,8.5,10.625,0.9082172032676599,0.9291666666666668,0.931438127090301,medium,False,True,True,False
0,122,bmw,four,sedan,rwd,front,103.5,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,30760.0,6.8,9.35,0.9082172032676599,0.9291666666666668,0.931438127090301,medium,False,True,True,False
